owner,cable_count
Orange Tunisie,1
Hormuud Telecom Somalia,1
Somtel International,1
GTD España,1
Manx Electricity Authority,1
4iG Group,1
BwebwerikiNET Limited (BNL),1
Nauru Fibre Cable Corporation,1
Sacofa,1
Botswana Fibre Networks,1
Tanzania Telecommunication Corporation,1
Zambia Telecom,1
Epic,1
Esat BT,1
Gibtelecom,1
Kalaam Telecom,1
Lyse Tele AS,1
Entel Bolivia,1
Subtel,1
Viatel,1
Comoros Cables,1
Eirgrid,1
FOPTNET,1
GEO-METRIA,1
Globacom Limited,1
Loret Group,1
Regional Councel of Guadeloupe,1
Megacable,1
Golis Telecommunications,1
Telesom,1
Hannon Armstrong,1
Lumen,1
Ocean Networks,1
University of Hawai’i,1
Rakuten,1
Intra‑Asia Marine Networks Co.,1
Ltd.,1
Ogero,1
PT Jejaring Mitra Persada,1
CIEG,1
Interchange,1
IOEMA Fibre,1
ION Network,1
Axiom Technologies,1
Partner Communications Company,1
WIS Telecom,1
Monaco Telecom,1
CCSI,1
Regione Sardegne,1
Tiscali,1
WINDTRE,1
KCTV Jeju Broadcasting,1
SK Telecom (SKT),1
Bezeq International Ltd.,1
Seren Juno,1
Turk Telekom International,1
SA Power Networks,1
Neqsol Holding,1
Ketchican Public Utilities,1
QTNet,1
Common Tower Technologies Sdn Bhd,1
Tet,1
ASTCA,1
Libyan Post,1
Telecommunications and Information Technology Company (LPTIC Holding),1
Sikt,1
Alaska Power & Telephone Company (AP&T),1
MainOne - An Equinix Company,1
Symphony,1
Telcotech,1
Gozo Fibre Optic Cable Ltd.,1
Government of Malta,1
Avaroa Cable Ltd.,1
Telecom Niue,1
Gold Data,1
PTI Pacifica,1
Matrix Networks,1
Ufinet,1
Orascom Telecom Holding,1
SIPARTECH Sarl,1
AFRIX Telecom,1
Melita,1
***Canal+ Telecom***,1
CEB Fibernet,1
SFR,1
Zeop (incl. Reunicable),1
Mishima Village,1
Orient Link,1
Algar Telecom,1
AsiaHub1,1
NOR5KE Fibre AS,1
Telecoms Infrastructure Corporation of the Philippines (TelicPhil),1
IP Telecom,1
NO-UK COM AS,1
Hawaiki Submarine Cable LP,1
Litgrid,1
Svenska Kraftnät,1
BR.Digital Telecom,1
Wirelink,1
Alloha Fibra,1
BR Fibra,1
Ozônio Telecom,1
PPLink,1
TIM Brasil,1
Você Telecom,1
Copper Valley Telecom,1
Pacific Crossing,1
Telekom PT SmartFren,1
Corporacion Nacional de Telecomunicaciones (CNT),1
FiberStar,1
Peace Cable International Network Co. Ltd.,1
Eastlink,1
PGASCOM,1
Infinivan Inc.,1
Infratel Italia,1
Pishgaman Kavir,1
Telikom Papua New Guinea,1
Russian Government,1
Ocean Specialists,1
Inc (OSI),1
Virgin Islands Water and Power Authority,1
Red Electrica,1
Corsica Haut Débit,1
Government of the Netherlands,1
American Samoa Government,1
Elandia,1
Energía Integral Andina,1
Free,1
SBIN (La Société Béninoise d’Infrastructures Numériques),1
The Arab Investment Company,1
GTA TeleGuam,1
National Grid,1
Seaborn Networks,1
Myanmar Post and Telecommunication (MPT),1
SEAX,1
Sénégal Numérique SA,1
Seychelles Cable System Ltd.,1
Government of Cambodia,1
Dauphin Telecom,1
TelEm Group,1
Statnett,1
eir,1
National Grid Corporation of the Philippines,1
DongHwa Telecom,1
True Corporation,1
French Authority of St. Pierre and Miquelon,1
Virgin Islands Next Generation Networks,1
Telesur,1
GN Great Nordic,1
Latvia State Radio and Television Centre,1
National Electric Power Company of Jordan,1
Altice USA,1
Far EasTone (FET),1
Taiwan International Gateway Corporation,1
Taiwan Mobile,1
Trans Americas Fiber,1
Prima,1
Datagrid New Zealand,1
TEAMS Ltd.,1
Government of Timor-Leste,1
iAdvantage,1
Teletok,1
Digicel Tonga,1
Government of Tonga,1
Tonga Communications Corporation,1
Tonga Cable Limited,1
TAP AG,1
Azertelecom,1
Kazakhtelecom,1
Trans Indonesia Supercorridor,1
Alliance Telecommunications,1
TSTT,1
Vivacom,1
Campana Group,1
Unitel (Angola),1
Azimut,1
Unidata,1
Tuvalu Telecommunications Corporation (TTC),1
Broadband Infraco,1
Cape Verde Telecom,1
Congo Telecom,1
Office Congolais de Poste et Télécommunication,1
Togo Telecom,1
Vodafone Espana,1
Vodafone Ghana,1
E-Networks Inc.,1
