id,name,rfs_year,status,length,ownership_category,big_tech_owners,owners,has_google,has_meta,has_microsoft,has_amazon
new-cross-pacific-ncp-cable-system,New Cross Pacific (NCP) Cable System,2018.0,In service,"13,618 km",hybrid,Microsoft,"China Mobile, China Telecom, China Unicom, Chunghwa Telecom, KT, Microsoft, Softbank",False,False,True,False
raman,Raman,2026.0,Planned,"7,376 km",hybrid,Google,"Google, Sparkle, Zain Omantel International",True,False,False,False
seamewe-6,SeaMeWe-6,2027.0,Planned,"21,700 km",hybrid,Microsoft,"Bahrain Telecommunications Company (Batelco), Bangladesh Submarine Cable Company Limited (BSCCL), Bharti Airtel, China Unicom, Dhiraagu, Djibouti Telecom, Microsoft, Mobily, Orange, PCCW, Singtel, Sri Lanka Telecom, Telecom Egypt, Telekom Malaysia, Telin, Transworld",False,False,True,False
southeast-asia-japan-cable-sjc,Southeast Asia-Japan Cable (SJC),2013.0,In service,"8,900 km",hybrid,Google,"China Mobile, China Telecom, Chunghwa Telecom, Globe Telecom, Google, KDDI, National Telecom, Singtel, Telkom Indonesia, Unified National Networks (UNN)",True,False,False,False
southeast-asia-japan-cable-2-sjc2,Southeast Asia-Japan Cable 2 (SJC2),2025.0,In service,"10,500 km",hybrid,Meta,"China Mobile, Chunghwa Telecom, DongHwa Telecom, KDDI, Meta, SK Broadband, Singtel, Telin, True Corporation, VNPT International",False,True,False,False
tannat,Tannat,2018.0,In service,"2,000 km",hybrid,Google,"Antel Uruguay, Google",True,False,False,False
unity,Unity,2010.0,In service,"9,620 km",hybrid,Google,"Bharti Airtel, Google, KDDI, Singtel, TIME dotCom, Telstra",True,False,False,False
5-villages-6-islands,5 Villages 6 Islands,2019.0,In service,355 km,telco_consortium,,Tokyo Metropolitan Government,False,False,False,False
acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),2009.0,In service,"3,000 km",telco_consortium,,Alaska Communications,False,False,False,False
aec-1,AEC-1,2016.0,In service,"5,521 km",telco_consortium,,EXA Infrastructure,False,False,False,False
alba-1,ALBA-1,2012.0,In service,"1,860 km",telco_consortium,,"Telecom Venezuela, Transbit",False,False,False,False
andromeda,ANDROMEDA,,Planned,,telco_consortium,,"Etisalat Group, Exelera, Grid Telecom",False,False,False,False
apcn-2,APCN-2,2001.0,In service,"19,000 km",telco_consortium,,"AT&T, BT, China Telecom, China Unicom, Chunghwa Telecom, HKBN, KDDI, KT, LG Uplus, NTT, Orange, PCCW, PLDT, Singtel, Singtel Optus, Softbank, Starhub, Tata Communications, Telekom Malaysia, Telstra, Verizon, Vodafone",False,False,False,False
apocs-1,APOCS 1,1991.0,In service,,telco_consortium,,Bell Canada,False,False,False,False
apocs-2,APOCS 2,1995.0,In service,,telco_consortium,,Bell Canada,False,False,False,False
apx-east,APX East,2028.0,Planned,"13,000 km",telco_consortium,,SUBCO,False,False,False,False
arcos,ARCOS,2001.0,In service,"8,704 km",telco_consortium,,"AT&T, Alestra, Bahamas Telecommunications Company, Belize Telemedia, CANTV, Claro Dominicana (Codetel), Enitel, Hondutel, ICE (Kolbi), InterNexa, Liberty Networks, Orbinet Overseas, RACSA, Telecomunicaciones Ultramarinas de Puerto Rico, Telepuerto San Isidro, Tigo Colombia, Tricom USA, United Telecommunication Services (UTS), Verizon",False,False,False,False
arimao,ARIMAO,2023.0,In service,"2,470 km",telco_consortium,,"Empresa de Telecomunicaciones de Cuba, Orange",False,False,False,False
arsat-submarine-fiber-optic-cable,ARSAT Submarine Fiber Optic Cable,2012.0,In service,40 km,telco_consortium,,ARSAT,False,False,False,False
au-aleutian,AU-Aleutian,2022.0,In service,"1,491 km",telco_consortium,,GCI Communication Corp,False,False,False,False
adamasia-cable-system-1,Adamasia Cable System 1,2027.0,Planned,"1,015 km",telco_consortium,,Solomon Island Submarine Cable Company,False,False,False,False
aden-djibouti,Aden-Djibouti,1994.0,In service,269 km,telco_consortium,,"Djibouti Telecom, Orange, Sparkle, Tata Communications, TeleYemen",False,False,False,False
adria-1,Adria-1,1996.0,In service,440 km,telco_consortium,,"ALBtelecom, Hrvatski Telekom",False,False,False,False
africa-coast-to-europe-ace,Africa Coast to Europe (ACE),2012.0,In service,"17,000 km",telco_consortium,,"Bayobab, Cable Consortium of Liberia, Canalink, Dolphin Telecom, GUILAB, Gambia Submarine Cable Company, International Mauritania Telecom, Orange, Orange Cameroun, Orange Cote d’Ivoire, Orange Mali, Republic of Cameroon, Republic of Equatorial Guinea, Republic of Gabon, Republic of Guinea Bissau, SBIN (Société Béninoise des Infrastructures Numériques du Bénin), STP Cabo, Sierra Leone Cable Company, Sonatel, Zamani Telecom",False,False,False,False
africa-1,Africa-1,2027.0,Planned,"10,000 km",telco_consortium,,"G42, Mobily, Pakistan Telecommunications Company Ltd., TeleYemen, Telecom Egypt, Zain Omantel International, e&",False,False,False,False
airraq,Airraq,2025.0,In service,840 km,telco_consortium,,"Unicom, Inc.",False,False,False,False
alaska-united-east-au-east,Alaska United East (AU-East),1999.0,In service,"3,751 km",telco_consortium,,GCI Communication Corp,False,False,False,False
alaska-united-southeast-au-se,Alaska United Southeast (AU-SE),2008.0,In service,626 km,telco_consortium,,GCI Communication Corp,False,False,False,False
alaska-united-turnagain-arm-auta,Alaska United Turnagain Arm (AUTA),2012.0,In service,53 km,telco_consortium,,GCI Communication Corp,False,False,False,False
alaska-united-west-au-west,Alaska United West (AU-West),2004.0,In service,"2,485 km",telco_consortium,,GCI Communication Corp,False,False,False,False
aletar,Aletar,1997.0,In service,787 km,telco_consortium,,"Liban Telecom, Syrian Telecommunications Establishment, Telecom Egypt",False,False,False,False
almera-melilla-alme,Almería-Melilla (ALME),1990.0,In service,198 km,telco_consortium,,Telefonica,False,False,False,False
alonso-de-ojeda,Alonso de Ojeda,1999.0,In service,122 km,telco_consortium,,"SETAR, United Telecommunication Services (UTS)",False,False,False,False
american-1,AmeriCan-1,1999.0,In service,140 km,telco_consortium,,"Bell Canada, Ledcor Industries Inc., Rogers Communications, Zayo",False,False,False,False
america-movil-submarine-cable-system-1-amx-1,America Movil Submarine Cable System-1 (AMX-1),2014.0,In service,"17,800 km",telco_consortium,,América Móvil (Claro),False,False,False,False
americas-i-north,Americas-I North,1994.0,In service,"2,012 km",telco_consortium,,AT&T,False,False,False,False
americas-ii-west,Americas-II West,2000.0,In service,217 km,telco_consortium,,"AT&T, Liberty Networks, Sparkle",False,False,False,False
amerigo-vespucci,Amerigo Vespucci,1999.0,In service,87 km,telco_consortium,,Antelecom,False,False,False,False
antigua-st-kitts,Antigua-St.Kitts,1995.0,In service,141 km,telco_consortium,,Liberty Networks,False,False,False,False
antillas-1,Antillas 1,1997.0,In service,601 km,telco_consortium,,"Altice Dominicana, Antelecom, Claro Dominicana (Codetel), Liberty Networks, SETAR",False,False,False,False
apollo,Apollo,2003.0,In service,"13,000 km",telco_consortium,,Vodafone,False,False,False,False
apollo-east-and-west,Apollo East and West,2025.0,In service,670 km,telco_consortium,,Grid Telecom,False,False,False,False
aqualink,Aqualink,2001.0,In service,,telco_consortium,,One NZ,False,False,False,False
arctic-way,Arctic Way,2028.0,Planned,"2,568 km",telco_consortium,,Space Norway,False,False,False,False
asia-africa-europe-1-aae-1,Asia Africa Europe-1 (AAE-1),2017.0,In service,"25,000 km",telco_consortium,,"China Unicom, Djibouti Telecom, Hyalroute, Metfone, Mobily, National Telecom, OTEGLOBE, Ooredoo, PCCW, Pakistan Telecommunications Company Ltd., Reliance Jio Infocomm, Retelit, TIME dotCom, TeleYemen, Telecom Egypt, VNPT International, Viettel Corporation, Zain Omantel International, e&",False,False,False,False
asia-connect-cable-1-acc-1,Asia Connect Cable-1 (ACC-1),2029.0,Planned,"19,000 km",telco_consortium,,Inligo Networks,False,False,False,False
asia-direct-cable-adc,Asia Direct Cable (ADC),2024.0,In service,"9,988 km",telco_consortium,,"China Telecom, China Unicom, National Telecom, PLDT, Singtel, Softbank, Tata Communications, Viettel Corporation",False,False,False,False
asia-link-cable-alc,Asia Link Cable (ALC),2027.0,Planned,"7,200 km",telco_consortium,,"China Telecom, China Unicom, DITO Telecommunity, FPT Telecom, Globe Telecom, Matrix NAP Info, Singtel, TIME dotCom, Telekom Malaysia, Unified National Networks (UNN), VNPT, Viettel Corporation",False,False,False,False
asia-submarine-cable-express-asecahaya-malaysia,Asia Submarine-cable Express (ASE)/Cahaya Malaysia,2012.0,In service,"8,148 km",telco_consortium,,"NTT, PLDT, Starhub, Telekom Malaysia",False,False,False,False
asia-america-gateway-aag-cable-system,Asia-America Gateway (AAG) Cable System,2009.0,In service,"20,000 km",telco_consortium,,"AT&T, BT, Bharti Airtel, Eastern Telecom, Ezecom, Globe Telecom, Indosat Ooredoo, National Telecom, PLDT, Saigon Postel Corporation, Spark New Zealand, Starhub, Telekom Malaysia, Telkom Indonesia, Telstra, Unified National Networks (UNN), VNPT International, Viettel Corporation",False,False,False,False
atisa,Atisa,2017.0,In service,279 km,telco_consortium,,Docomo Pacific,False,False,False,False
atlantic-crossing-1-ac-1,Atlantic Crossing-1 (AC-1),1998.0,In service,"14,301 km",telco_consortium,,Colt,False,False,False,False
atlas-offshore,Atlas Offshore,2007.0,In service,"1,634 km",telco_consortium,,Maroc Telecom,False,False,False,False
aurora,Aurora,2024.0,In service,500 km,telco_consortium,,GlobalConnect,False,False,False,False
australia-japan-cable-ajc,Australia-Japan Cable (AJC),2001.0,In service,"12,700 km",telco_consortium,,"AT&T, NTT, Softbank, Telstra, Verizon",False,False,False,False
australia-singapore-cable-asc,Australia-Singapore Cable (ASC),2018.0,In service,"4,600 km",telco_consortium,,Vocus Communications,False,False,False,False
avassa,Avassa,2016.0,In service,260 km,telco_consortium,,"Comores Telecom, STOI",False,False,False,False
awashima-murakami,Awashima-Murakami,2022.0,In service,66 km,telco_consortium,,Awashimaura Village,False,False,False,False
azores-fiber-optic-system-afos,Azores Fiber Optic System (AFOS),1998.0,In service,"1,100 km",telco_consortium,,Altice Portugal,False,False,False,False
balok,BALOK,2016.0,In service,60 km,telco_consortium,,XLSmart,False,False,False,False
bcs-east,BCS East,1995.0,In service,97 km,telco_consortium,,Arelion,False,False,False,False
bcs-east-west-interlink,BCS East-West Interlink,1997.0,In service,218 km,telco_consortium,,Arelion,False,False,False,False
bcs-north---phase-1,BCS North - Phase 1,1998.0,In service,513 km,telco_consortium,,Arelion,False,False,False,False
bcs-north---phase-2,BCS North - Phase 2,2000.0,In service,280 km,telco_consortium,,Arelion,False,False,False,False
berytar,BERYTAR,1997.0,In service,134 km,telco_consortium,,"Lebanese Ministry of Telecommunications, Syrian Telecommunications Establishment",False,False,False,False
brusa,BRUSA,2018.0,In service,"11,000 km",telco_consortium,,Telxius,False,False,False,False
bt-highlands-and-islands-submarine-cable-system,BT Highlands and Islands Submarine Cable System,2014.0,In service,402 km,telco_consortium,,BT,False,False,False,False
bt-mt-1,BT-MT-1,1990.0,In service,80 km,telco_consortium,,"BT, Manx Telecom",False,False,False,False
bugio,BUGIO,1996.0,In service,73 km,telco_consortium,,Altice Portugal,False,False,False,False
bahamas-2,Bahamas 2,1997.0,In service,476 km,telco_consortium,,Bermuda Telephone Company (BTC),False,False,False,False
bahamas-domestic-submarine-network-bdsni,Bahamas Domestic Submarine Network (BDSNi),2006.0,In service,"2,735 km",telco_consortium,,Bahamas Telecommunications Company,False,False,False,False
bahamas-internet-cable-system-bics,Bahamas Internet Cable System (BICS),2001.0,In service,"1,100 km",telco_consortium,,Caribbean Crossings,False,False,False,False
balalink,Balalink,2001.0,In service,274 km,telco_consortium,,IslaLink,False,False,False,False
baltic-sea-submarine-cable,Baltic Sea Submarine Cable,2000.0,In service,"1,042 km",telco_consortium,,CITIC Telecom International,False,False,False,False
baltica,Baltica,1997.0,In service,437 km,telco_consortium,,"Arelion, Orange Polska, Slovak Telekom, TDC Group, Telenor, Ukrtelecom",False,False,False,False
bangladesh-private-cable-system-bpcs,Bangladesh Private Cable System (BPCS),2027.0,Planned,"1,300 km",telco_consortium,,"CdNet Communications, Metacore Subcom, Summit Communications",False,False,False,False
barat-timur-indonesia-1-bti-1,Barat Timur Indonesia-1 (BTI-1),2028.0,Planned,"4,500 km",telco_consortium,,Super Sistem (PT Super Sistem Data),False,False,False,False
barat-timur-indonesia-2-bti-2,Barat Timur Indonesia-2 (BTI-2),,Planned,"11,600 km",telco_consortium,,Super Sistem (PT Super Sistem Data),False,False,False,False
barracuda,Barracuda,2028.0,Planned,"1,050 km",telco_consortium,,Valencia Digital Port Connect,False,False,False,False
bass-strait-1,Bass Strait-1,1995.0,In service,241 km,telco_consortium,,Telstra,False,False,False,False
bass-strait-2,Bass Strait-2,2003.0,In service,239 km,telco_consortium,,Telstra,False,False,False,False
basslink,Basslink,2005.0,In service,298 km,telco_consortium,,Basslink Telecoms,False,False,False,False
batam-dumai-melaka-bdm,Batam Dumai Melaka (BDM),2009.0,In service,353 km,telco_consortium,,"Moratelindo, Telekom Malaysia",False,False,False,False
batam-sarawak-internet-cable-system-basics,Batam Sarawak Internet Cable System (BaSICS),2021.0,In service,762 km,telco_consortium,,Irix Sdn Bhd,False,False,False,False
batam-singapore-cable-system-bscs,Batam Singapore Cable System (BSCS),2009.0,In service,73 km,telco_consortium,,Telkom Indonesia,False,False,False,False
batam-rengit-cable-system-brcs,Batam-Rengit Cable System (BRCS),2007.0,In service,64 km,telco_consortium,,XLSmart,False,False,False,False
bay-of-bengal-gateway-bbg,Bay of Bengal Gateway (BBG),2016.0,In service,"8,100 km",telco_consortium,,"AT&T, China Telecom, Dialog Axiata, Reliance Jio Infocomm, Telekom Malaysia, Telstra, Vodafone, Zain Omantel International, e&",False,False,False,False
