site_ID,site_name,latitude_numeric,longitude_numeric,blurred_coordinates,topography_m,freshwater_depth_m,realm_1,realm_2,biome_1,biome_2,functional_group_1,functional_group_2,contributor_comments
12054,Anabohazo Core 2,-14.31775,47.90891,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12055,Anabohazo Core 3,-14.3209,47.90976,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12056,Anabohazo Core 4,-14.31955,47.91001,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12057,Anabohazo Core 5,-14.31848,47.9105,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12058,Anabohazo Core 6,-14.31742,47.9093,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12059,Anabohazo Core 7,-14.31662,47.90873,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12060,Anabohazo Core 8,-14.31608,47.90908,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12061,Anabohazo Core 9,-14.31608,47.90836,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12062,Anabohazo Core 10,-14.3168,47.90686,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12063,Anabohazo Core 11,-14.31533,47.90879,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12064,Anabohazo Core 12,-14.31442,47.90901,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12065,Anabohazo Core 13,-14.32146,47.90999,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12066,Anabohazo Core 14,-14.31897,47.90979,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12067,Anabohazo Core 15,-14.32101,47.90961,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12068,Anabohazo Core 16,-14.31598,47.9039,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12069,Anabohazo Core 17,-14.31238,47.91357,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12070,Anabohazo Core 18,-14.31794,47.90992,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12071,Anabohazo Core 19,-14.32055,47.91001,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12072,Anabohazo Core 20,-14.31449,47.90929,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical dry forests and thickets,"",Inside Sahamalaza-Iles Radama National Park
12073,Dodger Channel 1,48.83107,-125.19422,FALSE,-0.4,,Marine,"",Marine shelf biome,"",Kelp forests,"","Sand and boulder substrate, medium kelp coverage"
12074,Ed King East Inside,48.83562,-125.21293,FALSE,-1.7,,Marine,"",Marine shelf biome,"",Kelp forests,"","Boulder substrate, high kelp coverage"
12075,Less Dangerous Bay,48.87567,-125.09065,FALSE,-2.3,,Marine,"",Marine shelf biome,"",Kelp forests,"","Rock and sand substrate, bare"
12076,Nanat Bay,48.88053,-125.07626,FALSE,-3.2,,Marine,"",Marine shelf biome,"",Kelp forests,"","Rock and sand substrate, medium kelp coverage"
12077,Tzartus 116,48.90098,-125.08061,FALSE,-0.84,,Marine,"",Marine shelf biome,"",Kelp forests,"","Rock and sand substrate, medium kelp coverage"
12078,B260T6_0m,-2.999,-54.877,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12079,B260T6_150m,-3.000238521,-54.87730842,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12080,B260T6_300m,-3.001,-54.877,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12081,B261T10_0m,-3.018,-55.005,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12082,B261T10_150m,-3.018699286,-55.00523015,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12083,B261T10_300m,-3.02,-55.005,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12084,B261T8_0m,-3.028,-55.012,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12085,B261T8_150m,-3.029036546,-55.01159687,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12086,B261T8_300m,-3.03,-55.012,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12087,B261T9_0m,-3.039,-55.015,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12088,B261T9_150m,-3.040336269,-55.01523675,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12089,B261T9_300m,-3.041,-55.015,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12090,B307T3_0m,-3.13,-54.857,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12091,B307T3_150m,-3.130675144,-54.85721078,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12092,B307T3_300m,-3.132,-54.857,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12093,B307T7_0m,-3.146,-54.839,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12094,B307T7_150m,-3.147425516,-54.83875713,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12095,B307T7_300m,-3.148,-54.839,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12096,B357T4_150m,-3.283021879,-54.85470463,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12097,B363T3_0m,-3.296,-54.964,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12098,B363T3_150m,-3.296706574,-54.96374076,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12099,B363T3_300m,-3.298,-54.964,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12100,B363T5_0m,-3.336,-54.985,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12101,B363T5_150m,-3.337236779,-54.9846102,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12102,B363T5_300m,-3.338,-54.985,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12103,B363T6_0m,-3.335,-54.956,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12104,B363T6_150m,-3.336292161,-54.95635482,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12105,B363T6_300m,-3.337,-54.956,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12106,B363T7_0m,-3.319,-54.961,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
