collection_ID,name,ecoSound-web_link,primary_contributors,secondary_contributors,date_added,URL_open_recordings,URL_project,DOI_publication,core_realm_IUCN,medium,locality,spatial_selection,temporal_exclusion,contributor_comments
1030,Asian Soundscape - Alishan,https://ecosound-web.de/ecosound_web/collection/show/1030,Mao-Ning Tuanmu,"",2024-04-24,https://soundscape.biodiv.tw/,https://soundscape.biodiv.tw/,none,Terrestrial,air,"Alishan, Taiwan",Selection of 16 tea plantation in Alishan,none,""
1031,Asian Soundscape - Subtropical broadleaf forest,https://ecosound-web.de/ecosound_web/collection/show/1031,Mao-Ning Tuanmu,"",2024-04-24,https://soundscape.biodiv.tw/,https://soundscape.biodiv.tw/,none,Terrestrial,air,Taiwan,"Non-random, placed for convenience of access",none,""
1032,Asian Soundscape - Wetlands,https://ecosound-web.de/ecosound_web/collection/show/1032,Mao-Ning Tuanmu,"",2024-04-24,https://soundscape.biodiv.tw/,https://soundscape.biodiv.tw/,none,Terrestrial,air,Taiwan,"Non-random, placed for convenience of access",none,""
1033,Asian Soundscape - Islands (Lyudao LTSER),https://ecosound-web.de/ecosound_web/collection/show/1033,Mao-Ning Tuanmu,"",2024-04-24,https://soundscape.biodiv.tw/,https://soundscape.biodiv.tw/,none,Terrestrial,air,"Green island, Taiwan","Non-random, placed for convenience of access",none,""
114,GMNP,https://ecosound-web.de/ecosound_web/collection/show/114,"Ellen Mc Arthur,Joe Chun-Chia Huang","",2021-09-01,none,none,none,Terrestrial,air,Gunung Mulu National Park,"",none,""
115,Taiwan lowlands,https://ecosound-web.de/ecosound_web/collection/show/115,Joe Chun-Chia Huang,"",2021-09-01,none,none,none,Terrestrial,air,"","",none,""
106,Bialowieza Forest,https://ecosound-web.de/ecosound_web/collection/show/106,Michal Budka,"",2021-09-01,none,none,none,Terrestrial,air,Bialowieza Forest,"",none,Recordings from the beginning to the end of birds breeding season
107,Kärringberget Ekopark,https://ecosound-web.de/ecosound_web/collection/show/107,Michal Budka,"",2021-09-01,none,none,none,Terrestrial,air,Kärringberget Ekopark,"random distribution of points, distance between recording points 1 km",none,Recordings from the beginning to the end of birds breeding season
117,Poland,https://ecosound-web.de/ecosound_web/collection/show/117,Michal Budka,Kinga Buda,2021-09-01,none,none,none,Terrestrial,air,"Biebrza Marshes, Upper Nurzec River Valley, Bialowieza Forest","",none,""
112,Bamenda Highlands,https://ecosound-web.de/ecosound_web/collection/show/112,Michal Budka,"",2021-09-01,none,none,none,Terrestrial,air,Bamenda Highlands,"","",""
113,Poznan city,https://ecosound-web.de/ecosound_web/collection/show/113,Michal Budka,Emilia Sokolowska,2021-09-01,none,none,none,Terrestrial,air,Poznan,"",none,""
124,Mozambique,https://ecosound-web.de/ecosound_web/collection/show/124,Michal Budka,Tomasz Stanislaw Osiejuk,2021-09-10,none,none,none,Terrestrial,air,Gorongosa National Park,"",none,""
126,Uganda,https://ecosound-web.de/ecosound_web/collection/show/126,Michal Budka,Tomasz Stanislaw Osiejuk,2021-09-10,none,none,none,Terrestrial,air,"","",none,""
122,French secondary channels,https://ecosound-web.de/ecosound_web/collection/show/122,Camille Desjonquères,"",2021-09-08,none,none,10.1038/s41598-018-31798-4,Freshwater,water,"","",none,""
131,MBARI,https://ecosound-web.de/ecosound_web/collection/show/131,John Ryan,"",2021-09-24,https://registry.opendata.aws/pacific-sound/,https://www.mbari.org/mars-hydrophone/,10.3389/fmars.2021.656566,Marine,water,Monterey Bay,"",none,""
145,NOAA NRS,https://ecosound-web.de/ecosound_web/collection/show/145,"Samara Haver,Jason Gedamke,Bob Dziak,Leila Hatch,Sofie Van Parijs","",2021-10-04,https://console.cloud.google.com/storage/browser/noaa-passive-bioacoustic/nrs?pageState=(%22StorageObjectListTable%22:(%22f%22:%22%255B%255D%22))&prefix=&forceOnObjectsSortingFiltering=false,https://www.pmel.noaa.gov/acoustics/noaanps-ocean-noise-reference-station-network,10.1016/j.marpol.2018.01.023,Marine,water,"","","",""
154,ARF,https://ecosound-web.de/ecosound_web/collection/show/154,Iqbal Bhalla,"",2021-10-12,none,none,none,Terrestrial,air,Assam,"",none,"86 sites with at least 90 minutes of recording per night. The bulk of the data comes from one season where six recorders were placed at two different heights in the same locations. 48 nights at 1m and 14 nights at 4 meters, with quite consistent sampling (~9 hours) per night. The remaining sites came from a different season and were visited once each, although some points were quite close to others. During that field season logistical, technical, and cultural constraints often left us with less data per night than we wanted."
156,DIFFCacao,https://ecosound-web.de/ecosound_web/collection/show/156,"Carolina Ocampo-Ariza,Jean Pierre Castro Namuche","",2021-10-14,none,none,none,Terrestrial,air,"La Quemazón, Piura","",none,"Possibly 2 replicates per study point (one per season 2 reps per point, but might be incomplete)"
157,English channel,https://ecosound-web.de/ecosound_web/collection/show/157,Sarah Marley,"",2021-10-15,none,none,none,Marine,water,English Channel,"",none,""
159,Western Aust. marine,https://ecosound-web.de/ecosound_web/collection/show/159,Sarah Marley,"",2021-10-15,none,none,none,Marine,water,Western Australia,"",none,""
160,IMOS,https://ecosound-web.de/ecosound_web/collection/show/160,Robert McCauley,"",2021-10-18,"",https://portal.aodn.org.au/search,"",Marine,water,"","","",""
166,New Zealand Temperate Rainforest,https://ecosound-web.de/ecosound_web/collection/show/166,Sara Bombaci,"",2021-10-19,none,none,none,Terrestrial,air,North Island/Taranaki Reserves,"",none,5 minute recordings made twice per day in the morning and evening
167,North temperate BC,https://ecosound-web.de/ecosound_web/collection/show/167,"Devin de Zwaan,Tomas Altamirano,Kathy Martin","",2021-10-22,none,none,10.1002/ece3.7678,Terrestrial,air,Smithers,"",none,""
168,South temperate Chile,https://ecosound-web.de/ecosound_web/collection/show/168,"Devin de Zwaan,Tomas Altamirano,Kathy Martin","",2021-10-22,none,none,10.1002/ece3.7678,Terrestrial,air,Pucon,"",none,""
169,SCIH,https://ecosound-web.de/ecosound_web/collection/show/169,Shih-Hung Wu,"",2021-10-22,https://drive.google.com/drive/folders/1HvdvUl46RdESvjyEVJN8m1pcZqCiyaQG,https://github.com/RedbirdTaiwan/silic,10.1016/j.marpol.2018.01.023,Terrestrial,air,Taoyuan,"",none,elevation: 1500-2800m every 100m
170,Taiwan,https://ecosound-web.de/ecosound_web/collection/show/170,Shih-Hung Wu,"Wen-Ling Tsai,En-Hao Liu,Fang-Yee Lin",2021-10-22,https://drive.google.com/drive/folders/1HvdvUl46RdESvjyEVJN8m1pcZqCiyaQG,https://github.com/RedbirdTaiwan/silic,10.1016/j.marpol.2018.01.023,Terrestrial,air,"mostly Taoyuan, Kaohsiung","",none,""
171,"Aquaculture, NZ",https://ecosound-web.de/ecosound_web/collection/show/171,"Matthew Slater,Craig Radford","",2021-10-26,none,https://www.awi.de/forschung/besondere-gruppen/aquakultur/aquakulturforschung/projekte/sonaqua.html,10.3354/aei00293,Marine,water,Marlborough Sounds,"",none,3 sites outside the salmon farm and three sites within the salmon farm
172,Aizu Jpn,https://ecosound-web.de/ecosound_web/collection/show/172,"Hiroto Enari,Haruka S Enari","",2021-10-28,none,none,none,Terrestrial,air,"","",none,We used second microphone.
173,Asahi Jpn,https://ecosound-web.de/ecosound_web/collection/show/173,"Hiroto Enari,Haruka S Enari","",2021-10-28,none,none,none,Terrestrial,air,"","",none,SM4 was partly used with the same setting
174,Oguni Jpn,https://ecosound-web.de/ecosound_web/collection/show/174,"Hiroto Enari,Haruka S Enari","",2021-10-28,none,none,none,Terrestrial,air,"","",none,""
175,Shirakami Jpn,https://ecosound-web.de/ecosound_web/collection/show/175,"Hiroto Enari,Haruka S Enari","",2021-10-28,none,none,none,Terrestrial,air,"","",none,SM2+ was partly used with the same setting
176,Towada Jpn,https://ecosound-web.de/ecosound_web/collection/show/176,"Hiroto Enari,Haruka S Enari","",2021-10-28,none,none,none,Terrestrial,air,"","",none,""
184,Kinabalu_Poring,https://ecosound-web.de/ecosound_web/collection/show/184,Klaus Riede,"",2021-11-06,https://bio.acousti.ca/search/site,http://www.groms.de/data/zoology/riede/cicada.html,none,Terrestrial,air,"Poring Hot Springs Canopy walkway, Kinabalu National Park","",none,Mostly analog recordings of electret microphone array described in http://www.groms.de/data/zoology/riede/DivSoundBorneoRiede96.pdf; some DAT Tape recodings
185,Bodoquena_Brazil,https://ecosound-web.de/ecosound_web/collection/show/185,"Adriana C. Acero-Murcia,Diogo Provete,Erich Fischer","",2021-11-08,none,https://www.researchgate.net/project/Bat-bioacoustics-in-a-metacommunity-the-Serra-da-Bodoquenone-Brazil,none,Terrestrial,air,"Serra da Bodoquena, Mato Grosso do Sul","",none,""
188,Baronnies,https://ecosound-web.de/ecosound_web/collection/show/188,Amandine Gasc,Adrien Charbonneau,2021-11-11,none,none,none,Terrestrial,air,Parc Naturel Regional des Baronnies provençales,"",none,include sites at 200 and at 600 of 20 small villages
193,NC_wasmannia,https://ecosound-web.de/ecosound_web/collection/show/193,Amandine Gasc,"Hervé Jourdan,Jérémy Anso,Laure Desutter-Grandcolas,Jérôme Sueur,Valentin Chevalier",2021-11-11,none,none,"10.1007/s10530-017-1612-0,10.1111/btp.13151",Terrestrial,air,New Caledonia,"",none,"include forest preforest and shrubland environment, with and without an invasive ant; include SM2 and SM2+"
197,ZAA_2019,https://ecosound-web.de/ecosound_web/collection/show/197,Amandine Gasc,"Cécile Albert,Lenka Brousset",2021-11-11,none,none,none,Terrestrial,air,Mont Ventoux and Parc des écrins,"",none,altitudinal gradients
200,OKEON,https://ecosound-web.de/ecosound_web/collection/show/200,"Nicholas Friedman,Samuel RP-J Ross","Evan Economo,Dan Warren,Kenneth Dudley",2021-11-14,https://soundcloud.com/user-425616046/sets/okinawa-soundscapes,https://okeon.unit.oist.jp/,"10.1007/s11284-017-1509-5, 10.1016/j.ecolind.2020.107114, 10.1101/2023.01.11.523682",Terrestrial,air,"Okinawa, Japan",representative cross-section of Okinawa's different habitat types,none,urban-rural gradient on subtropical island okeon.unit.oist.jp/
205,Farna Ecopark,https://ecosound-web.de/ecosound_web/collection/show/205,"Taylor Shaw,Grzegorz Mikusinski","",2021-11-16,none,none,10.1016/j.indic.2021.100141,Terrestrial,air,Sweden (central),"",rain/wind,""
207,British Columbia Midshipman,https://ecosound-web.de/ecosound_web/collection/show/207,"William Halliday,Matthew K Pine","Nicholas Brown,Sigal Balshine,Francis Juanes",2021-11-18,none,none,10.3354/meps12730,Marine,water,British Columbia,"","","2017 recorded at 2 sites for one month (see Halliday et al. 2018 MEPS), 2018 recorded at same 2 sites for 3 months, 2020 recorded at one of same sites for 3 months and a new site for 1.5 months"
208,western Canadian Arctic - Darnley Bay,https://ecosound-web.de/ecosound_web/collection/show/208,William Halliday,Stephen Insley,2021-11-18,none,www.arcticnoise.ca,none,Marine,water,Northwest Territories,"","",""
209,western Canadian Arctic - Sachs Harbour,https://ecosound-web.de/ecosound_web/collection/show/209,William Halliday,Stephen Insley,2021-11-18,none,www.arcticnoise.ca,10.1139/AS-2017-0021,Marine,water,Northwest Territories,"","","Recorded at a few locations near the coordinates, maximum of 3 sites within a year. Some recordings only for one month, others for a full year. Multiple publications on these data."
210,western Canadian Arctic - Ulukhaktok,https://ecosound-web.de/ecosound_web/collection/show/210,William Halliday,Stephen Insley,2021-11-18,none,www.arcticnoise.ca,10.1007/s00300-020-02665-8,Marine,water,Northwest Territories,"","","Recorder deployed every summer and recovered the following summer, minimum of 6 months of data, maximum of full year of data from each deployment. Multiple publications on these data - William happy to send a list and copies of these."
211,western Canadian Arctic beluga estuary,https://ecosound-web.de/ecosound_web/collection/show/211,"William Halliday,Kevin Scharffenberg","Stephen Insley,Shannon MacPhee,Dustin Whalen,Lisa Loseto,The Hunters and Trappers Committees of Inuvik,Aklavik,and Tuktoyaktuk,The Inuvialuit-Canada Fisheries Joint Management Committee",2021-11-18,none,www.arcticnoise.ca,10.1139/AS-2019-0022,Marine,water,Northwest Territories,"","",See Halliday et al 2020 Arctic Science. up to 384 kHz sampling frequency
212,western Canadian Arctic offshore,https://ecosound-web.de/ecosound_web/collection/show/212,William Halliday,Stephen Insley,2021-11-18,none,www.arcticnoise.ca,none,Marine,water,Northwest Territories,"","",Recorded at 7 sites around the Amundsen Gulf and eastern Beaufort Sea with 1 or 2 years at each site. Multiple publications in the works for these datasets.
213,"BeSound, German Biodiversity Exploratories",https://ecosound-web.de/ecosound_web/collection/show/213,"Sandra Mueller,Michael Scherer-Lorenzen","",2021-11-19,none,https://www.biodiversity-exploratories.de/en/projects/the-relationships-between-land-use-intensity-organismic-diversity-and-acoustic-complexity/,10.1016/j.agee.2021.107845,Terrestrial,air,"Germany, Schorheide-Chorin, Hainich-Dün, Swabian Alb",Plots belonging to Biodiversity Exploratories,none,""
215,"Darien, Panama",https://ecosound-web.de/ecosound_web/collection/show/215,"Sandra Mueller,Catherine Potvin","",2021-11-19,none,none,none,Terrestrial,air,Province of Darién,"",none,""
216,"Forest patches, South of Freiburg 1",https://ecosound-web.de/ecosound_web/collection/show/216,"Sandra Mueller,Michael Scherer-Lorenzen","",2021-11-19,none,none,10.1080/14888386.2020.1733086,Terrestrial,air,"Rheinebene, South of Freiburg","",none,""
450,"Forest patches, South of Freiburg 2",https://ecosound-web.de/ecosound_web/collection/show/450,"Sandra Mueller,Michael Scherer-Lorenzen","",2021-11-19,none,none,10.1080/14888386.2020.1733086,Terrestrial,air,"Rheinebene, South of Freiburg","",none,""
217,"NABU site, Erle",https://ecosound-web.de/ecosound_web/collection/show/217,"Sandra Mueller,Michael Scherer-Lorenzen","",2021-11-19,none,none,none,Terrestrial,air,Tiengen,"",none,Winter Recording only since winter 2020/2021
218,"Sardinilla, Experimental tree plantation (TreeDivNet), Panama",https://ecosound-web.de/ecosound_web/collection/show/218,"Sandra Mueller,Catherine Potvin","",2021-11-19,none,https://treedivnet.ugent.be/ExpSardinilla.html,10.3389/fevo.2022.808589,Terrestrial,air,Province of Colón,"",none,""
219,Schömberg,https://ecosound-web.de/ecosound_web/collection/show/219,"Sandra Mueller,Michael Scherer-Lorenzen","",2021-11-19,none,none,none,Terrestrial,air,"Schömberg, Nordschwarzwald","",none,May and June 2021 (many rain days)
220,"Vineyards, Freiburg",https://ecosound-web.de/ecosound_web/collection/show/220,"Sandra Mueller,Michael Scherer-Lorenzen","",2021-11-19,none,none,none,Terrestrial,air,"Freiburg, Kaiserstuhl","",none,"2020 recorded with FrontierLabs, 2021 with AudioMoth"
251,Dr. Forest,https://ecosound-web.de/ecosound_web/collection/show/251,"Sandra Mueller,Taylor Shaw,Michael Scherer-Lorenzen","",2021-11-26,none,https://www.dr-forest.eu/,none,Terrestrial,air,"Bialowieza Forest (Poland), Grand Est (France), Hainich (Germany), Gent (Belgium)","",none,""
214,ConFoBi,https://ecosound-web.de/ecosound_web/collection/show/214,Taylor Shaw,"Sandra Mueller,Michael Scherer-Lorenzen",2021-11-19,none,https://confobi.uni-freiburg.de/en,10.1002/ece3.6003,Terrestrial,air,southern Black Forest,"","",""
222,National Nature Park “Gomilshansky forests”,https://ecosound-web.de/ecosound_web/collection/show/222,"Andrey Atemasov,Tatiana Atemasova","",2021-11-22,none,none,10.2478/fsmu-2019-0006,Terrestrial,air,"","",none,""
226,Boreal Bird Monitoring Program - Northern Yukon,https://ecosound-web.de/ecosound_web/collection/show/226,"C. Lisa Mahon,Logan JT McLeod","",2021-11-24,https://www.wildtrax.ca/home/aru-tasks.html?sensorId=ARU&projectId=446; https://www.wildtrax.ca/home/aru-tasks.html?sensorId=ARU&projectId=285,"","",Terrestrial,air,Canada,"","",Only the subsample of transcribed recordings are available on Wildtrax. We aimed to process 6 dawn recordings on random dates within the breeding season and 4 dusk/nocturnal recordings. All ARU were SM4
227,Boreal Bird Monitoring Program - Southern Yukon,https://ecosound-web.de/ecosound_web/collection/show/227,"C. Lisa Mahon,Logan JT McLeod","",2021-11-24,https://www.wildtrax.ca/home/aru-tasks.html?sensorId=ARU&projectId=1316,"","",Terrestrial,air,Canada,"","",Only the subsample of transcribed recordings are available on Wildtrax. We aimed to process 6 dawn recordings on random dates within the breeding season. All ARU were Frontier Labs BAR-LT
378,High Elevation Monitoring Program - Yukon Territory,https://ecosound-web.de/ecosound_web/collection/show/378,"C. Lisa Mahon,Logan JT McLeod","",2023-04-20,https://www.wildtrax.ca/home/aru-tasks.html?sensorId=ARU&projectId=168; https://www.wildtrax.ca/home/aru-tasks.html?sensorId=ARU&projectId=828; https://www.wildtrax.ca/home/aru-tasks.html?sensorId=ARU&projectId=1315,"","",Terrestrial,air,Canada,"","",Only the subsample of transcribed recordings are available on Wildtrax. We aimed to process 6 dawn recordings on random dates within the breeding season. ARU were a mix of Frontier Labs BAR-LT and SM mini.
229,"John Prince Research Forest, PG, Canada",https://ecosound-web.de/ecosound_web/collection/show/229,Sunny Tseng,"Ken Otter,Dexter Hodder",2021-11-24,none,none,none,Terrestrial,air,Fort St James,"","",""
142,BIOMON,https://ecosound-web.de/ecosound_web/collection/show/142,"Christos Mammides,Christina Ieronymidou",Harris Papadopoulos,2023-05-03,none,https://frederick.ac.cy/en/latest-news/134-frederick-university-coordinates-the-biomon-research-project,none,Terrestrial,air,Cyprus,"Agricultural landscape, semi natural habitat, forests",none,Data analysis in process
231,"Guangxi Bioacosutics, Jiuwandashan",https://ecosound-web.de/ecosound_web/collection/show/231,"Eben Goodale,Christos Mammides,You-Fang Chen","",2021-11-24,none,none,10.1016/j.ecolind.2021.107942,Terrestrial,air,"","",rain,Further sampling will continue in 2021-2022
232,"Guangxi Bioacoustics, Cenwanglaoshan",https://ecosound-web.de/ecosound_web/collection/show/232,"Eben Goodale,Christos Mammides,You-Fang Chen","",2021-11-24,none,none,10.1016/j.ecolind.2021.107942,Terrestrial,air,"","",rain,Further sampling will continue in 2021-2022
233,"Guangxi Bioacoustics, Damingshan",https://ecosound-web.de/ecosound_web/collection/show/233,"Eben Goodale,Christos Mammides,You-Fang Chen","",2021-11-24,none,none,10.1016/j.ecolind.2021.107942,Terrestrial,air,"","",rain,Further sampling will continue in 2021-2022
234,"Guangxi Bioacoustics, Dayaoshan",https://ecosound-web.de/ecosound_web/collection/show/234,"Eben Goodale,Christos Mammides,You-Fang Chen","",2021-11-24,none,none,10.1016/j.ecolind.2021.107942,Terrestrial,air,"","",rain,Further sampling will continue in 2021-2022
235,"Guangxi Bioacoustics, Huaping",https://ecosound-web.de/ecosound_web/collection/show/235,"Eben Goodale,Christos Mammides,You-Fang Chen","",2021-11-24,none,none,10.1016/j.ecolind.2021.107942,Terrestrial,air,"","",rain,Further sampling will continue in 2021-2022
236,"Guangxi Bioacoustics, Mulun",https://ecosound-web.de/ecosound_web/collection/show/236,"Eben Goodale,Christos Mammides,You-Fang Chen","",2021-11-24,none,none,10.1016/j.ecolind.2021.107942,Terrestrial,air,"","",rain,Further sampling will continue in 2021-2022
237,"Guangxi Bioacoustics, Shiwandashan",https://ecosound-web.de/ecosound_web/collection/show/237,"Eben Goodale,Christos Mammides,You-Fang Chen","",2021-11-24,none,none,10.1016/j.ecolind.2021.107942,Terrestrial,air,"","",rain,Further sampling will continue in 2021-2022
240,Mackenzie Valley Winter Road,https://ecosound-web.de/ecosound_web/collection/show/240,"Samuel Haché,Jocelyn Gregoire","",2021-11-24,none,none,none,Terrestrial,air,"","","",""
241,Sambaa K'e Winter Road,https://ecosound-web.de/ecosound_web/collection/show/241,"Samuel Haché,Jocelyn Gregoire","",2021-11-24,none,none,none,Terrestrial,air,"","","",""
242,Tibbit winter road,https://ecosound-web.de/ecosound_web/collection/show/242,"Samuel Haché,Jocelyn Gregoire","",2021-11-24,none,none,none,Terrestrial,air,"","","",""
243,Tlicho winter road,https://ecosound-web.de/ecosound_web/collection/show/243,"Samuel Haché,Jocelyn Gregoire","",2021-11-24,none,none,none,Terrestrial,air,"","","",""
244,WRD Quebec - ASCC,https://ecosound-web.de/ecosound_web/collection/show/244,Junior Tremblay,"",2021-11-24,none,none,none,Terrestrial,air,"","","",Only selected 3min recordings actually on Wildtrax (3 on mornings and 2 on evening per recording day; 2 recording days)
245,WRD Quebec - Chute-des-Passes wildfire,https://ecosound-web.de/ecosound_web/collection/show/245,Junior Tremblay,"",2021-11-24,none,none,none,Terrestrial,air,"","","",Only selected 3min recordings actually on Wildtrax (3 on mornings and 2 on evening per recording day; 2 recording days)
246,WRD Quebec - FM,https://ecosound-web.de/ecosound_web/collection/show/246,Junior Tremblay,"",2021-11-24,none,none,none,Terrestrial,air,"","","",Only selected 3min recordings actually on Wildtrax (3 on mornings and 2 on evening per recording day; 2 recording days)
247,WRD Quebec - Labrieville wildfire,https://ecosound-web.de/ecosound_web/collection/show/247,Junior Tremblay,"",2021-11-24,none,none,none,Terrestrial,air,"","","",Only selected 3min recordings actually on Wildtrax (3 on mornings and 2 on evening per recording day; 2 recording days)
248,WRD Quebec - LSJ experiment,https://ecosound-web.de/ecosound_web/collection/show/248,Junior Tremblay,"",2021-11-24,none,none,none,Terrestrial,air,"","","",Only selected 10min recordings actually on Wildtrax (2 by mornings on 3 consecutive days)
249,WRD Quebec - MV,https://ecosound-web.de/ecosound_web/collection/show/249,Junior Tremblay,"",2021-11-24,none,none,none,Terrestrial,air,"","","",Only selected 3min recordings actually on Wildtrax (3 on mornings and 2 on evening per recording day; 2 recording days)
294,WRD Quebec - Camp Dubray,https://ecosound-web.de/ecosound_web/collection/show/294,Junior Tremblay,"",2021-12-09,none,none,none,Terrestrial,air,"","","",Only selected 3min recordings actually on Wildtrax (3 on mornings and 2 on evening per recording day; 2 recording days)
295,WRD Quebec - Cote-Nord SBW,https://ecosound-web.de/ecosound_web/collection/show/295,Junior Tremblay,"",2021-12-09,none,none,none,Terrestrial,air,"","","",Data will be uploaded into WildTrax soon. Only selected 3min recordings actually on Wildtrax (3 on mornings and 2 on evening per recording day; 2 recording days)
250,"Emparador, Republic of Panama",https://ecosound-web.de/ecosound_web/collection/show/250,Tom Bradfer-Lawrence,"Nick Gardner,Daisy Dent",2021-11-25,none,none,"10.1111/2041-210X.13254,10.1016/j.ecolind.2020.106400",Terrestrial,air,"","",none,"most sites recorded for 7 days (min 5, max 15). Some site only wet or dry season, some sites both wet and dry season."
262,Chirikyacu,https://ecosound-web.de/ecosound_web/collection/show/262,José Luis Mena,"José Luis Mena,Alfonso Zúñiga",2021-11-30,https://arbimon.rfcx.org/project/Chirikyacu/,none,none,Terrestrial,air,San Martin,"",none,""
263,"Northern Western Ghats, Maharashtra state, India",https://ecosound-web.de/ecosound_web/collection/show/263,Anushka Rege,"Zuzana Burivalova,Janice Ser Huay Lee",2021-11-30,none,none,10.32657/10356/163037,Terrestrial,air,South Maharashtra,"",none,"Sampled across 15 locations- 5 each in cashew plantations, privately owned forest, and Goverment- controlled Reseved forests. Total of 39,508 minutes of data in wav. format.  "
267,Rowley Shoals,https://ecosound-web.de/ecosound_web/collection/show/267,Miles Parsons,Australian Institute of Marine Science,2021-12-01,none,none,none,Marine,water,"","",none,""
268,Swan River Long term,https://ecosound-web.de/ecosound_web/collection/show/268,Miles Parsons,Curtin University,2021-12-01,none,none,none,Freshwater,water,"","",none,""
269,Swan River Spatial,https://ecosound-web.de/ecosound_web/collection/show/269,Miles Parsons,Curtin University,2021-12-01,none,none,none,Freshwater,water,"","",none,""
271,"Occitanie, southern France",https://ecosound-web.de/ecosound_web/collection/show/271,"Luc Barbaro,Anne Sourdril","",2021-12-02,none,https://www6.inrae.fr/biosefair/Nos-actions/Projets-exploratoires/PARMENIDE,10.1007/s10980-021-01391-8,Terrestrial,air,Aurignac,"",none,login-based access to recordings: https://nextcloud.inrae.fr/apps/files/?dir=/dataacoustic&amp;fileid=20260044
272,"Pima county, South Arizona, USA",https://ecosound-web.de/ecosound_web/collection/show/272,"Luc Barbaro,Anne Sourdril","",2021-12-02,none,https://ohmi-pima-county.in2p3.fr/en/component/fabrik/details/4/2299?Itemid=,10.1007/s10980-021-01391-8,Terrestrial,air,Tucson area and Santa Rita range,"",none,login-based access to recordings: https://nextcloud.inrae.fr/apps/files/?dir=/dataacoustic&amp;fileid=20260044
468,"Forêt domaniale de Rambouillet, Yvelines, France",https://ecosound-web.de/ecosound_web/collection/show/468,"Luc Barbaro,Anne Sourdril","",2022-06-28,none,none,none,Terrestrial,air,Ile de France,"",none,During and shortly after first French COVID shutdown. Login-based recordings access: login-based access to recordings: https://nextcloud.inrae.fr/apps/files/?dir=/dataacoustic/LucBarbaro/ONF&fileid=38113477
274,South China Sea,https://ecosound-web.de/ecosound_web/collection/show/274,"Songhai Li,Lijun Dong",Yuhang Song,2021-12-02,none,none,10.1371/journal.pone.0236938,Marine,water,"","",none,""
275,West Pacific 1,https://ecosound-web.de/ecosound_web/collection/show/275,"Songhai Li,Lijun Dong",Yuhang Song,2021-12-02,none,none,none,Marine,water,"","",none,""
276,West Pacific 2,https://ecosound-web.de/ecosound_web/collection/show/276,"Songhai Li,Lijun Dong",Yuhang Song,2021-12-02,none,none,none,Marine,water,Mariana Trench,"",none,""
277,Western Ghats,https://ecosound-web.de/ecosound_web/collection/show/277,"Vijay Ramesh,Pooja Choksi,Sarika Khanwilkar","",2021-12-02,none,https://github.com/vjjan91/acoustics-Restoration,10.1016/j.biocon.2023.110071,Terrestrial,air,"Anamalai hills, Tamil Nadu","",none,Ongoing project with more data now coming in from the Nilgiri hills of the Western Ghats
279,"Stuttgart, Germany",https://ecosound-web.de/ecosound_web/collection/show/279,"Thomas Hiller,Ingo Grass","",2021-12-03,none,none,none,Terrestrial,air,Stuttgart,"",rain,"Study of the effect of landscape composition (=effective Shannon diversity of crops) and landscape configuration (=edge density). We have 32 landscapes, each 1 km x 1 km in size, and covering independent gradients in composition and configuration. All study landscapes were situated in agricultural land with at least 70% cropland. Sometimes hedges and other woody structures are close by, but most recordings were done in open land and always next to an arable field."
223,"Sarapiqui, Costa Rica",https://ecosound-web.de/ecosound_web/collection/show/223,"Thomas Hiller,Ingo Grass",Eduardo Rodríguez Martinez,2024-04-23,none,none,none,Terrestrial,air,"Sarapiqui, Costa Rica","",rain,forest fragments surrounded by agriculturally dominated landscapes
228,"Origi Gorge, South Africa",https://ecosound-web.de/ecosound_web/collection/show/228,"Thomas Hiller,Ingo Grass","María Jesús García Bianco,Juliana Carolina Herran García",2024-04-23,none,none,none,Terrestrial,air,"Oribi Gorge, KwaZulu-Natal, South Africa","",rain,agricultural landscape dominated by sugarcane and macadamia plantations
285,"Quintana Roo, Mexico",https://ecosound-web.de/ecosound_web/collection/show/285,"Tatiana Maeda,Zuzana Burivalova","Peter Ellis,Omar Hiram Martinez Castillo",2021-12-04,none,none,none,Terrestrial,air,"Felipe Carrillo Puerto municipality, Quintana Roo, Mexico","",none,""
281,"Amarakaeri, Peru",https://ecosound-web.de/ecosound_web/collection/show/281,"Jessica Deichmann,Marconi Campos Cerqueira","",2021-12-04,https://arbimon.rfcx.org/project/smithsonian-wandari-project/dashboard,https://arbimon.rfcx.org/project/smithsonian-wandari-project/dashboard,"10.1016/j.ecolind.2016.11.002, 10.3390/rs9111096 ",Terrestrial,air,Madre de Dios,"",none,"~103,000 1-min recordings total"
284,"Morona, Peru",https://ecosound-web.de/ecosound_web/collection/show/284,"Jessica Deichmann,Diego Balbuena","",2021-12-04,https://arbimon.rfcx.org/project/smithsonian-morona-bmap-peru/dashboard,https://arbimon.rfcx.org/project/smithsonian-morona-bmap-peru/dashboard,none,Terrestrial,air,Loreto,"",none,"~227,000 1-min recordings total"
286,"Ramat Hanadiv Valley, Israel 1",https://ecosound-web.de/ecosound_web/collection/show/286,"Asaf Ben David,Hila shamon","",2021-12-06,none,none,10.1186/s12898-019-0270-8,Terrestrial,air,Ramat Hanadiv,"",rain/wind,""
